Instruction,Response
What was the date of the meeting ?,"22nd January , 2022"
"Who chaired the HOD meeting held on January 22, 2022, at SMIT?","Prof. (Dr.) GL Sharma, Director SMIT"
What was the purpose of the HOD meeting?,"To discuss various matters related to the improvement of SMIT's rankings and accreditation, as well as to address administrative and academic issues"
What action was suggested by the Director to improve SMIT's position in rankings and accreditation?,Faculties should start publishing in SCI and Scopus journals in addition to conference papers.
How did the Additional Registrar plan to facilitate SMIT's advancement in NIRF ranking?,By requesting all HODs to provide data for the rankings in the correct format and within the stipulated time.
What decision was made regarding the continuation of the teacher guardian scheme for 1st-year students?,"The current teacher guardian scheme was to be continued for 1st-year students up to July 2022, and department-wise student lists of B.Tech 1st-year students would be shared to initiate the mentor-mentee scheme."
What action was assigned to teacher guardians regarding fee defaulters?,"Teacher guardians were instructed to follow up with fee defaulters, and results of defaulters were to be withheld until fees were cleared."
What committee was proposed to finalize the format for microanalysis of in-semester examinations?,"A committee was proposed to be formulated for the finalization of the format for microanalysis of in-semester examinations, with the action assigned to the Additional Director (Academics)."
How did the meeting propose to implement one-year internships for final-year students?,"Departments desiring to implement one-year internships for final-year students from the 2019 Batch were advised to select MOOC courses for 7 semester subjects, and proposals were to be forwarded through departmental BOS for senate approval."
What changes were suggested regarding the maintenance of teacher diaries?,"Teacher diaries for the semester were to be maintained in soft copy, with only lesson plans prepared in hard copy and signatures of CRs taken, later merged with the soft copy in PDF format."
What directive was given regarding the standard of question papers for examinations?,"The DCE(T) would share the question paper pattern, and the standard of question papers was to be maintained to ensure a certain level of difficulty to improve students' technical knowledge."
Who presented the review of the last HOD meeting,Mr. Ishwer Shivakoti presented the review of the last HOD meeting.
What topics were discussed regarding the summer/winter internship,The list of summer/winter internship has been prepared and submitted to the university. The Director reiterated the house about the credit transfer for summer/winter internships.
What action was taken regarding the academic calendar?,The Academic Calendar was prepared and submitted to the university
What proposal was made regarding scholarships,A proposal for scholarships has been prepared
What was discussed about the revision of petty cash,"A proposal for the revision of petty cash has been prepared, and it will be sent to the university."
What was requested regarding the University Monthly Co-ordination Meeting,"All HODs are requested to provide a PowerPoint presentation on thematic issues like NEP, Research, etc., with the final proposal to be submitted to the Director's office by January 15, 2022."
What was the purpose of forming a class committee,The purpose of forming a class committee is to review and improve the teaching-learning process. An office order for the same has been circulated.
What action was taken regarding the formation of a class committee,The committee should submit the Minutes of Meeting to the office of the undersigned and the office of Quality control as per the Academic Calendar. The action is to be taken by the Chairperson of the Class Committee
What was discussed about the formation of a committee for policy documents,"A committee for policy documents is to be formed for the creation of faculty and the reorganization of departments. HODs were requested to voluntarily provide names for the committee; otherwise, it will be nominated."
"What action was requested regarding strategies, objectives, and KRAs","The Director requested all HODs to submit strategies, objectives, and KRAs by December 1, 2022."
Who presented the agenda points for the 62nd ASM,Mr. Ishwer Shivakoti presented the agenda points for the 62nd ASM for discussion.
"Who chaired the HOD Meeting on October 29, 2022","Prof. (Dr.) Gurdaman Lal Sharma, Director, SMIT, chaired the meeting."
What action was assigned to Dr. Saumya Das,Dr. Saumya Das was assigned the action of sharing an excel sheet of COs and POs attainment matrix.
What is the focus of the Scholarship Committee,The Scholarship Committee will mainly focus on core branches
When should the agenda points for the University Committee Meeting be forwarded to the office of the Director,The agenda points should be forwarded to the office of the Director by the 1st of every month
Who proposed a new method of result analysis based on COs and POs attainment matrix,"Dr. Saumya Das, Assistant Professor, Department of IT, proposed the new method."
What action was assigned to the Assistant Manager Finance,The Assistant Manager Finance was assigned the action of preparing the budget for the next financial year 2023-24 and submitting it to the office of Finance.
What is the request made to all HODs and HOOs regarding the SMU Calendar,All HODs and HOOs are requested to forward event photographs for the SMU calendar to the Administrative Office.
"Who are assigned the action for preparing the calendar for Academic, Research, and Extracurricular Activities",All Associate Directors are assigned the action for preparing the calendar.
What is the focus of the discussion on the Credit Transfer Policy for MOOC Courses,"The focus is on the NPTEL Credit transfer policy, with a request for suggestions from all HODs regarding the proposal put up by HOD CSE."
What is the purpose of forwarding agenda points for University Committee Meetings,The purpose is to ensure that agenda points from the department are forwarded to the office of the Director for consideration in the University Committee Meeting
